Start Date,End Date,Event Name,Page Path,Event Count,Total Users,Pulled At
28daysAgo,yesterday,page_view,/,133,79,6/29/2026
28daysAgo,yesterday,session_start,/,91,75,6/29/2026
28daysAgo,yesterday,first_visit,/,73,73,6/29/2026
28daysAgo,yesterday,user_engagement,/,58,22,6/29/2026
28daysAgo,yesterday,page_view,/services/performance-checkout-rescue/,51,43,6/29/2026
28daysAgo,yesterday,session_start,/services/performance-checkout-rescue/,41,40,6/29/2026
28daysAgo,yesterday,first_visit,/services/performance-checkout-rescue/,40,40,6/29/2026
28daysAgo,yesterday,page_view,/store-audit/,30,13,6/29/2026
28daysAgo,yesterday,page_view,/case-studies/,25,10,6/29/2026
28daysAgo,yesterday,page_view,/care-optimization-plans/,24,16,6/29/2026
28daysAgo,yesterday,page_view,/contact/,21,12,6/29/2026
28daysAgo,yesterday,scroll,/,18,14,6/29/2026
28daysAgo,yesterday,page_view,/viaje-captiva/,17,10,6/29/2026
28daysAgo,yesterday,page_view,/insights/,16,4,6/29/2026
28daysAgo,yesterday,page_view,/woocommerce-developer-miami/,16,9,6/29/2026
28daysAgo,yesterday,scroll,/services/performance-checkout-rescue/,15,15,6/29/2026
28daysAgo,yesterday,user_engagement,/store-audit/,14,6,6/29/2026
28daysAgo,yesterday,case_study_click,/case-studies/,13,6,6/29/2026
28daysAgo,yesterday,nav_service_click,/,13,8,6/29/2026
28daysAgo,yesterday,page_view,/services/woocommerce-store-development/,12,6,6/29/2026
28daysAgo,yesterday,session_start,/viaje-captiva/,12,10,6/29/2026
28daysAgo,yesterday,user_engagement,/services/performance-checkout-rescue/,12,6,6/29/2026
28daysAgo,yesterday,page_view,/case-studies/quest-technology/,11,6,6/29/2026
28daysAgo,yesterday,page_view,/services/woocommerce-integrations/,11,9,6/29/2026
28daysAgo,yesterday,user_engagement,/case-studies/,11,5,6/29/2026
28daysAgo,yesterday,user_engagement,/contact/,11,8,6/29/2026
