Start Date,End Date,Landing Page,Page Group,Sessions,Active Users,Engagement Rate,Avg Session Duration,Event Count,Pulled At
28daysAgo,yesterday,/,Homepage,82,66,0.4024390244,189.1446746,7/17/1901,6/29/2026
28daysAgo,yesterday,/viaje-captiva/,Unknown,12,10,0.4166666667,246.0082238,2/15/1900,6/29/2026
28daysAgo,yesterday,/services/performance-checkout-rescue/,Service Page,6,6,0.1666666667,2.757870167,1/20/1900,6/29/2026
28daysAgo,yesterday,/woocommerce-developer-miami/,Landing Page,6,6,0.1666666667,194.2569313,2/20/1900,6/29/2026
28daysAgo,yesterday,(not set),Unknown,5,4,0,0,1/9/1900,6/29/2026
28daysAgo,yesterday,/care-optimization-plans/,Landing Page,5,5,0,0,1/13/1900,6/29/2026
28daysAgo,yesterday,/contact/,Utility / Trust Page,5,4,0.6,273.9543182,2/20/1900,6/29/2026
28daysAgo,yesterday,/services/woocommerce-integrations/,Service Page,5,5,0,0,1/14/1900,6/29/2026
28daysAgo,yesterday,/my-account/,Unknown,4,4,0,0,1/11/1900,6/29/2026
28daysAgo,yesterday,/privacy-policy/,Utility / Trust Page,4,4,0,1.61566375,1/12/1900,6/29/2026
28daysAgo,yesterday,/services/ecommerce-automation/,Service Page,4,4,0.25,102.606151,1/13/1900,6/29/2026
28daysAgo,yesterday,/when-woocommerce-store-needs-custom-plugin-instead-of-extension/,Insight Article,4,4,0,0,1/11/1900,6/29/2026
28daysAgo,yesterday,/?id=2746&page_id=3850&snippet=b9cedff7f7,Homepage,3,3,0,0,1/8/1900,6/29/2026
28daysAgo,yesterday,/services/custom-plugins-features/,Service Page,3,3,0,0,1/8/1900,6/29/2026
28daysAgo,yesterday,/why-woocommerce-checkout-breaks-after-plugin-updates/,Insight Article,3,3,0.6666666667,157.813992,1/11/1900,6/29/2026
28daysAgo,yesterday,/why-woocommerce-inventory-sync-breaks-between-multiple-sales-channels/,Insight Article,3,2,0.6666666667,161.2959083,15,6/29/2026
28daysAgo,yesterday,/about/,Utility / Trust Page,2,2,0.5,19.816955,9,6/29/2026
